,dn,yard,a,n_yard,p
279,1,5,0,4,0.0
280,1,5,0,5,0.4672741279126979
281,1,5,0,6,0.12741940130951107
282,1,5,0,7,0.1182057032236804
283,1,5,0,8,0.09875666663448424
284,1,5,0,9,0.07430609987536929
285,1,5,0,10,0.1140380010442571
286,1,5,1,0,0.0
287,1,5,1,1,0.0
288,1,5,1,2,0.0
289,1,5,1,3,0.0
290,1,5,1,4,0.0
291,1,5,1,5,0.48322580564645584
292,1,5,1,6,0.09615364264765885
293,1,5,1,7,0.0917448877455298
294,1,5,1,8,0.08245987109811037
295,1,5,1,9,0.06981523334258699
296,1,5,1,10,0.17660055951965814
297,1,5,2,0,0.0
298,1,5,2,1,0.0
299,1,5,2,2,0.0
300,1,5,2,3,0.0
301,1,5,2,4,0.0
302,1,5,2,5,0.33393572440675995
303,1,5,2,6,0.06498926805881489
304,1,5,2,7,0.06821579009511691
305,1,5,2,8,0.06939799937763541
306,1,5,2,9,0.06842697446878288
307,1,5,2,10,0.39503424359288997
308,1,5,3,0,0.0
309,1,5,3,1,0.0
310,1,5,3,2,0.0
311,1,5,3,3,0.0
312,1,5,3,4,0.0
313,1,5,3,5,0.27666973440261755
314,1,5,3,6,0.041388284106843753
315,1,5,3,7,0.04412876186950154
316,1,5,3,8,0.04631378939713732
317,1,5,3,9,0.04784558811650297
318,1,5,3,10,0.5436538421073969
319,1,5,4,0,0.0
320,1,5,4,1,0.0
321,1,5,4,2,0.0
322,1,5,4,3,0.0
323,1,5,4,4,0.0
324,1,5,4,5,0.2910543283003142
325,1,5,4,6,0.030089350595010944
326,1,5,4,7,0.03158923017761728
327,1,5,4,8,0.03287893880471138
328,1,5,4,9,0.033927180573901095
329,1,5,4,10,0.5804609715484451
330,1,6,0,0,0.0
331,1,6,0,1,0.0
332,1,6,0,2,0.0
333,1,6,0,3,0.0
334,1,6,0,4,0.0
335,1,6,0,5,0.0
336,1,6,0,6,0.5264016631885495
337,1,6,0,7,0.12716722427694926
338,1,6,0,8,0.11188589187016595
339,1,6,0,9,0.08826462475015828
340,1,6,0,10,0.14628059591417697
341,1,6,1,0,0.0
342,1,6,1,1,0.0
343,1,6,1,2,0.0
344,1,6,1,3,0.0
345,1,6,1,4,0.0
346,1,6,1,5,0.0
347,1,6,1,6,0.5053622891996351
348,1,6,1,7,0.09720481095432931
349,1,6,1,8,0.09131070782634754
350,1,6,1,9,0.08063116500955692
351,1,6,1,10,0.22549102701013113
352,1,6,2,0,0.0
353,1,6,2,1,0.0
354,1,6,2,2,0.0
